Ticker,Name,Industry,Stock Price,Book value per Share,Cash per Share,Dividend per Share,EPS (Basic),Revenue per Share,Shareholders Equity per Share
GILD,"Gilead Sciences, Inc.",Drug Manufacturers General,71.28,14.4805,6.572,2.7438,0.1,19.6038,14.4805
TJX,"The TJX Companies, Inc.",Apparel Retail,73.64,4.8608,8.725,0.2319,0.07,26.7808,4.8608
ADP,"Automatic Data Processing, Inc.",Staffing & Employment Services,208.96,13.3099,6.0704,3.6984,6.07,35.223,13.3099
E,Eni SpA,Oil & Gas Integrated,24.54,12.8502,5.1225,0.6292,-2.9697,15.1073,12.8502
LRCX,Lam Research Corporation,Semiconductor Equipment & Materials,609.59,41.8542,39.7847,5.0486,26.9,101.5694,41.8542
BNTX,BioNTech SE Sponsored ADR,Biotechnology,358.48,7.1313,6.2903,0,0.07,2.3353,7.1313
MDLZ,"Mondelez International, Inc.",Confectioners,61.89,19.2718,2.5507,1.1726,2.47,18.5751,19.2718
USB,U.S. Bancorp,Banks Regional,58.3,35.1856,41.4712,1.6912,3.06,13.9245,35.1856
SNOW,Snowflake Inc.,Software Application,297.71,17.1438,13.6254,0,-1.87,2.0563,17.1438
BAM,Brookfield Asset Management Inc,Asset Management,56.96,23.7183,10.2025,0.5738,-0.1884,44.2708,23.7183
BTI,British American Tobacco p.l.c.,Tobacco,37.29,37.4229,2.0188,2.7416,3.822,15.3816,37.4229
PNC,"The PNC Financial Services Group, Inc",Banks Regional,194.51,126.4871,215.9016,4.637,16.98,39.5152,126.4871
MU,"Micron Technology, Inc.",Semiconductors,74,35.1315,7.3351,0,2.37,19.3108,35.1315
CB,Chubb Limited,Insurance Property & Casualty,186.32,131.5066,4.0619,3.0708,7.79,79.7611,131.5066
HCA,"HCA Healthcare, Inc.",Medical Care Facilities,251.85,1.6923,5.6479,0.4527,10.93,152.4645,1.6923
CCI,Crown Castle International Corporation,Reit Specialty,190.97,22.3664,0.8889,4.9764,2.36,13.8061,22.3664
WPP,WPP PLC,Advertising Agencies,67.66,5.4109,14.3967,0.1281,-3.317,13.3967,5.4109
DUK,Duke Energy Corporation,Utilities Regulated Electric,104.67,65.0801,0.6147,3.8155,1.72,32.3853,65.0801
ENB,Enbridge Inc,Oil & Gas Midstream,39.44,23.8459,0.1904,2.4243,1.1617,15.1068,23.8459
SHW,The Sherwin-Williams Company,Specialty Chemicals,302.87,13.3247,0.8376,1.8007,7.36,67.7565,13.3247
FIS,"Fidelity National Information Services, Inc.",Information Technology Services,128.59,79.6446,3.1648,1.4023,0.25,20.2779,79.6446
MMC,"Marsh & McLennan Companies, Inc.",Insurance Brokers,156.35,17.9921,4.1285,1.9308,3.94,33.9862,17.9921
COF,Capital One Financial Corporation,Credit Services,175.8,131.4498,89.0197,1.0044,5.18,62.1834,131.4498
FISV,"Fiserv, Inc.",Information Technology Services,117.94,48.1101,1.3482,0,1.4,22.1012,48.1101
CNI,Canadian National Railway Company,Railroads,110.35,21.6943,1.2144,1.7156,3.9325,15.2559,21.6943
TFC,Truist Financial Corporation,Banks Regional,57.97,52.5664,18.1774,1.7996,3.08,16.6488,52.5664
AZN,AstraZeneca PLC,Drug Manufacturers General,58.63,11.8897,6.0832,2.7226,2.5935,22.3873,11.8897
COP,ConocoPhillips,Oil & Gas E&P,56.74,27.6892,6.2096,1.6985,-2.51,17.4072,27.6892
BNS,Bank of Nova Scotia (The),Banks Diversified,62.95,42.2698,221.1396,2.7982,4.0833,18.8532,42.2698
UBER,"Uber Technologies, Inc.",Software Application,40.69,6.9971,4.0371,0,-3.86,6.3542,6.9971
TTM,Tata Motors Ltd,Auto Manufacturers,19.75,2.0613,2.494,0.0001,-0.5019,9.3568,2.0613
CSX,CSX Corporation,Railroads,33.45,5.701,1.3625,0.3468,1.2,4.6053,5.701
ABB,ABB Ltd,Electrical Equipment & Parts,37.65,7.4611,2.7154,0.8612,2.6014,13.1695,7.4611
EQIX,"Equinix, Inc.",Reit Specialty,824.81,120.8409,18.5114,10.772,4.18,67.9659,120.8409
DELL,Dell Technologies Inc.,Computer Hardware,96.95,3.9664,20.2849,0,4.22,126.7863,3.9664
ITW,Illinois Tool Works Inc.,Specialty Industrial Machinery,230.64,10.0347,8.0883,4.3502,6.63,39.6656,10.0347
EW,Edwards Lifesciences Corporation,Medical Devices,116.39,7.3419,2.252,0,1.3,7.0401,7.3419
GM,General Motors Company,Auto Manufacturers,49.8,31.4236,22.0649,0.4669,4.33,85.4745,31.4236
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,248.5,85.1792,10.5269,3.6774,2.72,61.3513,85.1792
CI,Cigna Corporation,Healthcare Plans,210.68,137.8658,27.8959,0,22.96,439.863,137.8658
CME,CME Group Inc.,Financial Data & Stock Exchanges,199.86,73.5196,4.8575,5.8939,5.87,13.6425,73.5196
FDX,FedEx Corporation,Integrated Freight & Logistics,267.9,91.5455,26.8447,2.5985,19.48,317.4015,91.5455
NWG,NatWest Group plc,Banks Diversified,6.02,4.3857,20.5397,0.0404,-0.0819,1.345,4.3857
MCO,Moody's Corporation,Financial Data & Stock Exchanges,377.85,8.3457,14.3404,2.2394,9.39,28.5691,8.3457
EQNR,Equinor ASA,Oil & Gas Integrated,21.72,10.3972,5.7162,0.7128,-1.8599,15.4065,10.3972
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Banks Diversified,5.46,11.8072,104.0364,0.2355,0.546,3.3402,11.8072
SO,Southern Company (The),Utilities Regulated Electric,65.99,26.7136,1.0066,2.794,2.93,19.1314,26.7136
REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology,663.29,102.0833,33.213,0,30.52,78.6759,102.0833
ADSK,"Autodesk, Inc.",Software Application,315.64,4.411,8.4795,0,5.44,17.3105,4.411
WBK,Westpac Banking Corporation,Banks Diversified,19.03,13.4957,13.3921,0.4763,0.4558,3.9916,13.4957
PLL,Piedmont Lithium Inc.,Other Industrial Metals & Mining,55.73,0.0199,0.0156,0,-0.0069,0,0.0199
ETN,"Eaton Corporation, PLC",Specialty Industrial Machinery,170.03,37.1393,2.7413,2.9229,3.49,44.4229,37.1393
ILMN,"Illumina, Inc.",Diagnostics & Research,464.58,31.932,23.619,0,4.43,22.034,31.932
ICE,Intercontinental Exchange Inc.,Financial Data & Stock Exchanges,118.41,35.3225,2.8678,1.212,3.76,13.8442,35.3225
WDAY,"Workday, Inc.",Software Application,269.28,13.8312,14.9325,0,-1.19,18.1392,13.8312
CL,Colgate-Palmolive Company,Household & Personal Products,77.44,0.867,1.0793,1.93,3.14,19.2194,0.867
SAN,"Banco Santander, S.A.",Banks Diversified,3.77,5.718,18.3424,0,-0.6627,3.6004,5.718
BMO,Bank Of Montreal,Banks Diversified,100.65,66.3924,363.2112,2.8723,5.6851,29.2092,66.3924
WM,"Waste Management, Inc.",Waste Management,154.15,17.617,1.3735,2.1915,3.52,35.9764,17.617
NSC,Norfolk Southern Corporation,Railroads,260.81,58.0039,4.3725,3.7647,7.84,38.3882,58.0039
SNY,Sanofi,Drug Manufacturers General,51.83,61.6518,13.617,3.5863,12.0506,35.2691,61.6518
AON,Aon plc,Insurance Brokers,285.13,15.0647,5.5776,1.7759,8.45,47.694,15.0647
ECL,Ecolab Inc.,Specialty Chemicals,224.99,21.4878,4.3902,1.954,-4.2,41.0801,21.4878
ATVI,"Activision Blizzard, Inc",Electronic Gaming & Multimedia,82.41,19.5032,11.428,0.4099,2.82,10.4916,19.5032
XPEV,XPeng Inc. Sponsored ADR,Auto Manufacturers,40.28,54.1393,55.5743,0,-7.28,8.7095,54.1393
BSX,Boston Scientific Corporation,Medical Devices,44.8,10.8165,1.3705,0,-0.08,6.9958,10.8165
STLA,Stellantis N.V.,Auto Manufacturers,20.29,20.091,19.2791,0,0.0245,67.6616,20.091
CRWD,CrowdStrike Holdings Inc.,Software Infrastructure,282.31,4.0039,8.8108,0,-0.43,4.0157,4.0039
D,Dominion Energy Inc.,Utilities Regulated Electric,78.19,31.4284,0.2888,3.4573,-0.56,17.0241,31.4284
